Новость,Ссылка,Дата
Систему поощрения работников профобразования введут в Костромской области,https://ria.ru/20250114/pooschreniya-1993734730.html,Unknown Date
Глава ПМР провел в Москве переговоры по энергетическому кризису,https://ria.ru/20250114/moskva-1993713475.html,Unknown Date
В Приднестровье изменили графики веерных отключений электроэнергии,https://ria.ru/20250114/pmr-1993701664.html,Unknown Date
"В Германии заявили, что Россия всегда соблюдала контракты по поставкам газа",https://ria.ru/20250114/gaz-1993689301.html,Unknown Date
"Санду рассказала, как Молдавия обеспечивает потребности в электроэнергии",https://ria.ru/20250114/sandu-1993685211.html,Unknown Date
Санду: Кишинев не препятствует поиску решений газового кризиса в ПМР,https://ria.ru/20250114/kishinev-1993683445.html,Unknown Date
"Санду обвинила ""Газпром"" в энергетическом кризисе в Молдавии",https://ria.ru/20250114/sandu-1993665605.html,Unknown Date
Россия запросила срочные консультации с Сербией из-за новых санкций,https://ria.ru/20250114/lavrov-1993617914.html,Unknown Date
Зеленский дерзко ответил на приглашение Фицо,https://ria.ru/20250113/vstrecha-1993541151.html,Unknown Date
В Кишиневе хотят возбудить дело из-за повышения тарифа на газ,https://ria.ru/20250113/kishinev-1993540846.html,Unknown Date
"В Кремле прокомментировали попытку Киева атаковать станцию ""Русская""",https://ria.ru/20250113/kreml-1993525355.html,Unknown Date
Фицо пригласил Зеленского на встречу,https://ria.ru/20250113/gaz-1993514599.html,Unknown Date
В Приднестровье сообщили о критической ситуации в регионе,https://ria.ru/20250113/pridnestrove-1993509773.html,Unknown Date
В Молдавии запросили подключение к энергосистеме двух сел в Приднестровье,https://ria.ru/20250113/pridnestrove-1993504214.html,Unknown Date
МОЭК обеспечивает теплом и горячей водой более 76 тысяч зданий,https://realty.ria.ru/20250113/moek-1993491619.html,Unknown Date
"""Газпром"" подтвердил проведение оптимизации численности сотрудников",https://ria.ru/20250113/gazprom-1993489883.html,Unknown Date
"Сийярто осудил атаку ВСУ на инфраструктуру ""Турецкого потока"" в России",https://ria.ru/20250113/potok-1993487973.html,Unknown Date
"""Газпром"" подтвердил возможные сокращения в центральном аппарате",https://ria.ru/20250113/gazprom-1993475612.html,Unknown Date
В ПМР заявили о резком падении экспорта из-за остановки предприятий,https://ria.ru/20250113/pridnestrove-1993460538.html,Unknown Date
Европа в 2024 году увеличила импорт российского газа,https://ria.ru/20250113/gaz-1993448289.html,Unknown Date
